sample_id,filepath,filename,umap_x,umap_y,latitude,longitude,file_type,size_bytes,site,camera_type
696902a9ece43907fa70abec,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122812.jpg,20260112_122812.jpg,5.312357,8.46703,-34.16210819972222,-70.68707759972223,JPEG,4375651,Lo Castillo,ground
696902a9ece43907fa70abed,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122821.jpg,20260112_122821.jpg,7.582405,8.889768,-34.1625237,-70.6874789,JPEG,5019021,Lo Castillo,ground
696902a9ece43907fa70abee,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122841.jpg,20260112_122841.jpg,8.9160595,6.8352118,-34.1625237,-70.6874789,JPEG,5433329,Lo Castillo,ground
696902a9ece43907fa70abef,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122845.jpg,20260112_122845.jpg,5.617639,5.917582,-34.1625237,-70.6874789,JPEG,5602263,Lo Castillo,ground
696902a9ece43907fa70abf0,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122847.jpg,20260112_122847.jpg,7.7323217,7.692147,-34.1625237,-70.6874789,JPEG,5119519,Lo Castillo,ground
696902a9ece43907fa70abf1,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122848.jpg,20260112_122848.jpg,5.5705047,6.0472007,-34.1625237,-70.6874789,JPEG,4413755,Lo Castillo,ground
696902a9ece43907fa70abf2,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122858.jpg,20260112_122858.jpg,6.5835066,9.161011,-34.1625237,-70.6874789,JPEG,4530023,Lo Castillo,ground
696902a9ece43907fa70abf3,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122900.jpg,20260112_122900.jpg,8.466614,4.1949754,-34.1625237,-70.6874789,JPEG,4662331,Lo Castillo,ground
696902a9ece43907fa70abf4,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122904.jpg,20260112_122904.jpg,6.437782,6.6154504,-34.1625237,-70.6874789,JPEG,5411194,Lo Castillo,ground
696902a9ece43907fa70abf5,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122905.jpg,20260112_122905.jpg,4.5849905,7.0373263,-34.1625237,-70.6874789,JPEG,5277724,Lo Castillo,ground
696902a9ece43907fa70abf6,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122908.jpg,20260112_122908.jpg,7.3032017,8.425981,-34.1625237,-70.6874789,JPEG,5926733,Lo Castillo,ground
696902a9ece43907fa70abf7,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122910.jpg,20260112_122910.jpg,7.4050107,8.657184,-34.1625237,-70.6874789,JPEG,5381385,Lo Castillo,ground
696902a9ece43907fa70abf8,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122911.jpg,20260112_122911.jpg,7.9925222,6.0908394,-34.1625237,-70.6874789,JPEG,5116435,Lo Castillo,ground
696902a9ece43907fa70abf9,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122917.jpg,20260112_122917.jpg,5.558077,6.088705,-34.16292829972222,-70.68787629972222,JPEG,4726071,Lo Castillo,ground
696902a9ece43907fa70abfa,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122924.jpg,20260112_122924.jpg,7.221315,8.533379,-34.16292829972222,-70.68787629972222,JPEG,5862056,Lo Castillo,ground
696902a9ece43907fa70abfb,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122927.jpg,20260112_122927.jpg,5.829915,8.019741,-34.16292829972222,-70.68787629972222,JPEG,4764845,Lo Castillo,ground
696902a9ece43907fa70abfc,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122929.jpg,20260112_122929.jpg,6.321052,5.4059377,-34.16292829972222,-70.68787629972222,JPEG,4914970,Lo Castillo,ground
696902a9ece43907fa70abfd,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122933.jpg,20260112_122933.jpg,6.392741,9.208345,-34.16292829972222,-70.68787629972222,JPEG,4933514,Lo Castillo,ground
696902a9ece43907fa70abfe,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122936.jpg,20260112_122936.jpg,6.885475,9.37156,-34.16292829972222,-70.68787629972222,JPEG,5417202,Lo Castillo,ground
696902a9ece43907fa70abff,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122949.jpg,20260112_122949.jpg,6.3222346,6.517129,-34.16292829972222,-70.68787629972222,JPEG,5397339,Lo Castillo,ground
696902a9ece43907fa70ac00,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122951.jpg,20260112_122951.jpg,6.931982,4.255341,-34.16292829972222,-70.68787629972222,JPEG,4819575,Lo Castillo,ground
696902a9ece43907fa70ac01,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122953.jpg,20260112_122953.jpg,7.570312,5.1247196,-34.16292829972222,-70.68787629972222,JPEG,5730294,Lo Castillo,ground
696902a9ece43907fa70ac02,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122958.jpg,20260112_122958.jpg,10.500169,6.366282,-34.16292829972222,-70.68787629972222,JPEG,5083206,Lo Castillo,ground
696902a9ece43907fa70ac03,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_122959.jpg,20260112_122959.jpg,5.5075903,6.2684746,-34.16292829972222,-70.68787629972222,JPEG,4129583,Lo Castillo,ground
696902a9ece43907fa70ac04,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123008.jpg,20260112_123008.jpg,7.683559,8.961361,-34.163230299999995,-70.68817239972222,JPEG,4871486,Lo Castillo,ground
696902a9ece43907fa70ac05,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123009.jpg,20260112_123009.jpg,6.422347,9.3643055,-34.163230299999995,-70.68817239972222,JPEG,4976322,Lo Castillo,ground
696902a9ece43907fa70ac06,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123011.jpg,20260112_123011.jpg,7.7595515,8.047741,-34.163230299999995,-70.68817239972222,JPEG,5645875,Lo Castillo,ground
696902a9ece43907fa70ac07,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123016.jpg,20260112_123016.jpg,5.211164,5.915173,-34.163230299999995,-70.68817239972222,JPEG,4296654,Lo Castillo,ground
696902a9ece43907fa70ac08,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123018.jpg,20260112_123018.jpg,5.3544683,8.804325,-34.163230299999995,-70.68817239972222,JPEG,5536896,Lo Castillo,ground
696902a9ece43907fa70ac09,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123019.jpg,20260112_123019.jpg,8.683367,8.781773,-34.163230299999995,-70.68817239972222,JPEG,4645622,Lo Castillo,ground
696902a9ece43907fa70ac0a,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123021.jpg,20260112_123021.jpg,8.451569,5.1544886,-34.163230299999995,-70.68817239972222,JPEG,5110251,Lo Castillo,ground
696902a9ece43907fa70ac0b,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123022.jpg,20260112_123022.jpg,8.035083,6.1904874,-34.163230299999995,-70.68817239972222,JPEG,5385560,Lo Castillo,ground
696902a9ece43907fa70ac0c,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123023.jpg,20260112_123023.jpg,5.3483872,6.355849,-34.163230299999995,-70.68817239972222,JPEG,4860511,Lo Castillo,ground
696902a9ece43907fa70ac0d,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123024.jpg,20260112_123024.jpg,7.3404603,7.717481,-34.163230299999995,-70.68817239972222,JPEG,5210616,Lo Castillo,ground
696902a9ece43907fa70ac0e,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123025.jpg,20260112_123025.jpg,8.846658,6.032264,-34.163230299999995,-70.68817239972222,JPEG,5501314,Lo Castillo,ground
696902a9ece43907fa70ac0f,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123028.jpg,20260112_123028.jpg,6.732041,8.209638,-34.163230299999995,-70.68817239972222,JPEG,5918251,Lo Castillo,ground
696902a9ece43907fa70ac10,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123031.jpg,20260112_123031.jpg,8.675272,6.003603,-34.163230299999995,-70.68817239972222,JPEG,4338147,Lo Castillo,ground
696902a9ece43907fa70ac11,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123032.jpg,20260112_123032.jpg,8.665277,5.6468363,-34.163230299999995,-70.68817239972222,JPEG,5064081,Lo Castillo,ground
696902a9ece43907fa70ac12,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123104.jpg,20260112_123104.jpg,6.6956525,8.843198,-34.1634394,-70.68835669972222,JPEG,5881451,Lo Castillo,ground
696902a9ece43907fa70ac13,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123107.jpg,20260112_123107.jpg,10.076648,7.3611164,-34.16343919972222,-70.68837059972222,JPEG,5281993,Lo Castillo,ground
696902a9ece43907fa70ac14,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123109.jpg,20260112_123109.jpg,6.28895,8.450851,-34.16343919972222,-70.68837059972222,JPEG,5676218,Lo Castillo,ground
696902a9ece43907fa70ac15,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123111.jpg,20260112_123111.jpg,8.20886,5.22749,-34.16343919972222,-70.68837059972222,JPEG,4869794,Lo Castillo,ground
696902a9ece43907fa70ac16,/home/malezainia1/dev/INIA_DeepLearning_Ubuntu_mod_lleon/data/campo5_enero26/Lo Castillo/Celular/20260112_123114.jpg,20260112_123114.jpg,7.292138,9.660482,-34.16343919972222,-70.68837059972222,JPEG,4928849,Lo Castillo,ground
